n_int_features,n_float_features,n_string_features,n_datetime_features,n_unkown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,ref_no_slash
21,13,0,0,0,18,16,1,2,csv,1,0,0,utf-8,0,0,0,34,34,1156,0.5741885625965998,0.042790085293949266,0.0,0.0,0.05824543629798769,0.2198517998686736,1.2879680856088558,0.07141706142428206,0.38235294117647056,0.5901926416928249,0.025943764705882357,0.5898885754168347,0,49.436,1941,uciml_faulty-steel-plates
3,0,0,1,0,2,2,1,1,csv,1,0,0,utf-8,0,0,0,4,4,16,0.6516209476309227,0.0015066500415627597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8449507552253775,0.0,0.8449331959827497,0,0.0,48120,fedesoriano_traffic-prediction-dataset
3,0,0,0,0,7,1,1,0,csv,1,0,0,utf-8,1,0,0,8,8,64,0.3435483870967742,0.04137590520079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6408008203987868,0.0,0.6406531704401656,0,4.776,4340,akshaydattatraykhare_car-details-dataset
3,0,0,1,0,10,1,1,1,csv,1,0,0,utf-8,0,0,1,11,11,121,1.0,0.004658979550389337,0.18005329272934906,4.347107438016528,0.0,0.0,0.0,0.0,0.0,0.6662593677258764,0.0,0.6659997885185577,0,0.0,2627,kaushiksuresh147_customer-segmentation
4,0,0,0,0,10,1,1,0,csv,1,0,0,utf-8,0,0,1,11,11,121,1.0,0.0015167272980958343,0.1738968765493307,13.074380165289256,0.0,0.0,0.0,0.0,0.0,0.6666938147912267,0.0,0.6666092652460245,0,0.0,8068,kaushiksuresh147_customer-segmentation
2,5,0,0,0,2,7,1,0,csv,1,0,0,utf-8,0,0,1,9,9,81,0.6564355981422765,0.00313,5.0e-6,0.024691358024691357,72.38691894328628,-2.7928792348536144,5305.241218110187,0.4332416789515974,0.7142857142857143,0.7364454916274581,0.047059014204039844,0.7364418094000033,0,1.665,200000,yasserh_uber-fares-dataset
8,4,0,0,0,7,9,1,0,csv,1,0,0,utf-8,0,0,1,16,16,256,0.5867542419266557,0.052096905679308254,0.0049261083743842365,0.00390625,7835.571096040913,-0.11968351905563572,0.44668957314038144,23.81595296717172,0.3333333333333333,0.579479987344581,0.04528675000000001,0.5766235340562236,0,17.182266009852217,203,tr1gg3rtrash_cars-2022-dataset
4,0,0,1,0,17,4,1,1,csv,1,0,0,utf-8,0,0,1,21,21,441,0.8865244524835586,0.0016029762446883487,1.0,426.43990929705217,0.0,0.0,0.0,0.0,0.0,0.5545944702274839,0.0,0.5545664479570003,0,42.0,45669,kukuroo3_nyc-motor-vehicle-collisions-to-person
0,6,0,1,0,2,6,1,2,csv,1,0,0,utf-8,0,0,0,8,8,64,0.6713143104193687,0.07684824902723736,0.0,0.0,0.46357443347906285,1.3390382485094774,30.46365674011849,0.2701057988987966,1.0,0.8258100675938045,0.038234912983333334,0.8255422951983429,0,2.824,3084,outofskills_driving-behavior
1,6,0,0,0,2,6,1,1,csv,1,0,0,utf-8,0,0,0,8,8,64,0.6616813025978777,0.07258507135016466,0.0,0.0,0.3987180726888649,0.05262338521731184,11.005926973524783,0.2517788589185331,0.8571428571428571,0.8307808337599468,0.029718069900000005,0.8305528478011733,0,11.056000000000001,3644,outofskills_driving-behavior
4,0,0,0,0,4,3,1,0,csv,1,0,0,utf-8,1,0,1,7,7,49,0.3056312538957461,0.03864278982092365,0.40999057492931196,8.877551020408164,0.0,0.0,0.0,0.0,0.0,0.5316513435171519,0.0,0.5311502583677484,0,4.1579999999999995,1061,nehalbirla_motorcycle-dataset
1,0,0,0,0,1,1,1,2,csv,1,0,0,utf-8,0,0,0,2,2,4,1.0,0.00002559967232419425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.996,39063,ifteshanajnin_carinsuranceclaimprediction-classification
11,4,0,0,0,41,2,1,1,csv,1,0,0,utf-8,0,0,0,43,43,1849,1.0,0.00020729490760079247,0.0,0.0,0.01615787262169288,0.15398041177554805,0.2596986130431679,0.05063819065517424,0.26666666666666666,0.5656578559707963,0.00735188806000432,0.565643375315036,0,106.554,39063,ifteshanajnin_carinsuranceclaimprediction-classification
12,4,0,0,0,42,2,1,1,csv,1,0,0,utf-8,0,0,0,44,44,1936,1.0,0.00013613104990767462,0.0,0.0,0.01511571107808686,0.13804028548817462,0.15430917596042526,0.047379191508525834,0.25,0.5549241887190559,0.007033786721194381,0.5549147177300346,0,108.89999999999996,58592,ifteshanajnin_carinsuranceclaimprediction-classification
29,30,0,0,0,80,1,1,4,csv,1,0,0,utf-8,0,0,1,81,81,6561,1.0,0.0192628357352955,1.0,65.62962962962962,418.8972373729251,14.202743133390237,1136.06630930406,1.5766475619455473,0.5084745762711864,0.37263091076600396,0.011979684183162852,0.37240458362329265,0,79.67342384105962,38113,epa_fuel-economy
16,4,0,2,0,19,5,1,0,csv,1,0,0,utf-8,0,0,1,24,24,576,0.8260382916053018,0.007508517322242377,0.3136966126656848,1.8489583333333333,7.062660888902035,1.0688199512140681,25.16665728897608,0.545241888374673,0.2,0.5385324349613931,0.010941928055,0.53836695897074,0,24.528,3395,michaelbryantds_electric-vehicle-charging-dataset
4,2,0,0,0,8,1,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.7529778470444173,0.02579873093621285,0.0,0.0,17.118489628781006,0.4161392090314573,3.7874932033209365,1.1230030691991353,0.3333333333333333,0.7075006222131119,0.0021753333333333334,0.7074612422386023,0,3.735,17966,adhurimquku_ford-car-price-prediction
0,5,0,0,0,0,10,1,0,csv,1,0,0,utf-8,0,0,1,10,10,100,0.7328231871722404,0.0,0.4604966139954853,2.1,2450.2525933786046,-0.07754962596285994,-1.0061786226716456,26.00814876999997,1.0,0.0,0.07116125999999998,0.0,0,9.909706546275396,443,ramjasmaurya_semiconductor-shortages19852021
1,0,0,0,0,3,8,1,0,csv,1,0,0,utf-8,0,0,1,11,11,121,0.5989740896358544,0.07777777777777778,0.3111111111111111,0.5041322314049587,0.0,0.0,0.0,0.0,0.0,0.6992551210428305,0.0,0.6953703703703704,0,1.4666666666666666,180,kkhandekar_cheapest-electric-cars
2,0,0,1,0,15,0,1,2,csv,1,0,0,utf-8,1,0,1,15,15,225,0.0,0.07111639259823395,1.0,1015.8533333333332,0.0,0.0,0.0,0.0,0.0,0.49936634283534725,0.0,0.4993453428417893,0,0.03,91741,melihkanbay_police
6,4,0,0,0,13,2,1,1,csv,1,0,0,utf-8,0,0,0,15,15,225,0.5058139534883721,0.04683688404618637,0.0,0.0,2.7272618245734797,0.3200572438727642,0.5483057653077366,0.6490975108386637,0.4,0.796230470649075,0.02296,0.7953887893904614,0,1.0782241014799154,946,rinichristy_2022-fuel-consumption-ratings
32,0,0,0,0,33,1,1,1,csv,1,0,0,utf-8,1,0,0,34,34,1156,0.988,0.004060606060606063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15325317301269203,0.0,0.15294666666666668,0,1.7680000000000002,500,imohtn_video-games-rating-by-esrb
32,0,0,0,0,33,1,1,0,csv,1,0,0,utf-8,0,0,0,34,34,1156,1.0,0.0010873910610058359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14829431526792725,0.0,0.14821605969258803,0,1.4620000000000002,1895,imohtn_video-games-rating-by-esrb
4,6,0,0,0,14,1,1,1,csv,1,0,0,utf-8,0,0,1,15,15,225,0.6936150666054203,0.020840242514153434,0.5916398713826366,198.08444444444447,0.5600124180091182,9.032408366809856,332.2967899815201,0.1017667668337904,0.6,0.8897264935662961,0.010588,0.889654715476808,0,2.19,17416,kendallgillies_video-game-sales-and-ratings
16,82,0,0,0,55,51,1,1,csv,1,0,0,utf-8,0,0,0,106,106,11236,0.3952528379772962,0.07181818181818185,0.0,0.0,3.143596116562553,1.4816444627268195,4.984795163889575,0.4514964595069211,0.8367346938775511,0.8603158652207396,0.07055581632653062,0.8580518761017372,0,0.2789473684210526,380,saife245_english-premier-league
16,82,0,0,0,55,51,1,1,csv,1,0,0,utf-8,0,0,1,106,106,11236,0.4021502109150235,0.07621299616539741,0.013157894736842105,0.001156995372018512,4.781856526937762,1.4104832188350078,4.106125463611968,0.4649119623333658,0.8367346938775511,0.8636073322984962,0.0722932653061225,0.8613338264250111,0,0.0,380,saife245_english-premier-league
18,6,0,0,0,38,2,1,1,csv,1,0,0,utf-8,0,0,0,40,40,1600,0.6318713450292398,0.0268082486919052,0.0,0.0,0.08872994305888914,0.030910086571787964,0.24756732338246568,0.08851214452333572,0.25,0.6880514384148524,0.07002878687346158,0.6879508460992936,0,7.840000000000001,6840,saife245_english-premier-league
21,0,0,0,0,26,2,1,1,csv,1,0,0,utf-8,0,0,0,28,28,784,0.593421052631579,0.03198380566801619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7082728894491149,0.0,0.7064090134242489,0,1.3263157894736841,380,saife245_english-premier-league
21,0,0,0,0,26,2,1,1,csv,1,0,0,utf-8,0,0,1,28,28,784,0.6117830856825441,0.036032388663967616,0.002631578947368421,0.0012755102040816326,0.0,0.0,0.0,0.0,0.0,0.7106790723510622,0.0,0.708808864265928,0,24.16842105263158,380,saife245_english-premier-league
16,0,0,0,0,22,1,1,1,csv,1,0,0,utf-8,0,0,0,23,23,529,0.25526315789473686,0.032177033492822964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7206290792945425,0.0,0.7187326869806093,0,0.0,380,saife245_english-premier-league
16,0,0,0,0,22,1,1,1,csv,1,0,0,utf-8,0,0,0,23,23,529,0.25526315789473686,0.03229665071770335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7223258133340067,0.0,0.720424955930496,0,0.0,380,saife245_english-premier-league
16,0,0,0,0,22,1,1,1,csv,1,0,0,utf-8,0,0,0,23,23,529,0.26052631578947366,0.034688995215311005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7182329474441682,0.0,0.7163428607403675,0,0.0,380,saife245_english-premier-league
16,0,0,0,0,22,1,1,1,csv,1,0,0,utf-8,0,0,0,23,23,529,0.27631578947368424,0.03205741626794259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7220966784916238,0.0,0.7201964240745404,0,0.0,380,saife245_english-premier-league
16,0,0,0,0,22,1,1,1,csv,1,0,0,utf-8,0,0,0,23,23,529,0.25,0.03325358851674642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.717757003446491,0.0,0.715868169226895,0,0.0,380,saife245_english-premier-league
16,0,0,0,0,22,1,1,1,csv,1,0,0,utf-8,0,0,0,23,23,529,0.25263157894736843,0.03229665071770335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7204434990089761,0.0,0.7185475950642156,0,0.0,380,saife245_english-premier-league
16,0,0,0,0,22,1,1,1,csv,1,0,0,utf-8,0,0,0,23,23,529,0.2578947368421053,0.03253588516746412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7203223037204428,0.0,0.7184267187106521,0,0.0,380,saife245_english-premier-league
19,45,0,0,0,48,23,1,1,csv,1,0,0,utf-8,0,0,0,71,71,5041,0.36819221967963384,0.07955043859649123,0.0,0.0,4.973457696708364,1.3169790819381704,3.0579712831681087,0.46440501385750943,0.703125,0.8281453964727118,0.06883921875000001,0.825966066481994,0,0.0,380,saife245_english-premier-league
19,45,0,0,0,51,20,1,1,csv,1,0,0,utf-8,0,0,0,71,71,5041,0.34750000000000003,0.08199174406604745,0.0,0.0,3.136788716445206,1.6401086357149746,5.66031303732826,0.3705759897682528,0.703125,0.8427214629776365,0.0681790625,0.8405037749171689,0,0.1868421052631579,380,saife245_english-premier-league
19,45,0,0,0,54,17,1,1,csv,1,0,0,utf-8,0,0,0,71,71,5041,0.3487616099071207,0.08859649122807017,0.0,0.0,3.4589999513448975,1.225291785507812,2.641360277929303,0.4143613087089168,0.703125,0.8588989697932904,0.0691284375,0.8566387093464652,0,0.0,380,saife245_english-premier-league
19,45,0,0,0,50,21,1,1,csv,1,0,0,utf-8,0,0,1,71,71,5041,0.3659739718689864,0.08370976253298153,0.005263157894736842,0.001190240031739734,2.4780383005645525,1.109957825266387,2.0109924792367444,0.4002483222586865,0.703125,0.8442481901029322,0.06517515624999999,0.8420259583174046,0,0.0,380,saife245_english-premier-league
19,39,0,0,0,45,20,1,1,csv,1,0,0,utf-8,0,0,1,65,65,4225,0.39394736842105266,0.0813718982140035,0.02631578947368421,0.014201183431952664,3.6594357133040534,1.071491023654557,1.9077548352688907,0.43606500953492416,0.6724137931034483,0.8377222049382532,0.06045827586206897,0.835508626916952,0,0.0,380,saife245_english-premier-league
19,39,0,0,0,42,23,1,1,csv,1,0,0,utf-8,0,0,1,65,65,4225,0.4061603762762417,0.07283231164983699,0.8947368421052632,0.24284023668639054,2.4782326586908137,1.046370829161725,1.9339937396583955,0.39667477271396906,0.6724137931034483,0.826929387379325,0.07145724137931037,0.8247527890274006,0,0.0,380,saife245_english-premier-league
19,36,0,0,0,44,18,1,1,csv,1,0,0,utf-8,0,0,1,62,62,3844,0.3803298924532087,0.07679883475779879,0.002631578947368421,0.0007804370447450572,1.6795073907770526,1.0483218309436972,2.3527083339188137,0.33829062777436536,0.6545454545454545,0.8323405158775244,0.058155272727272736,0.8301500003740366,0,0.1631578947368421,380,saife245_english-premier-league
19,39,0,0,0,35,30,1,1,csv,1,0,0,utf-8,0,0,0,65,65,4225,0.38456140350877205,0.05774436090225564,0.0,0.0,4.107971830821949,1.1386812763597018,2.5548582564637843,0.49335683452556417,0.6724137931034483,0.8027277957426548,0.058916034482758645,0.8006153541749108,0,0.0,380,saife245_english-premier-league
19,39,0,0,0,40,25,1,1,csv,1,0,0,utf-8,0,0,0,65,65,4225,0.42484210526315797,0.07289473684210526,0.0,0.0,6.136378487295824,1.1625800366382424,2.4470346707026196,0.47943696805303765,0.6724137931034483,0.8196045688098877,0.059908448275862086,0.8174477146814401,0,0.0,380,saife245_english-premier-league
19,36,0,0,0,27,35,1,1,csv,1,0,0,utf-8,0,0,0,62,62,3844,0.5489285714285715,0.07407407407407407,0.0,0.0,8.148068307599429,1.4455156761955277,4.326768713553213,0.46940839621003266,0.6545454545454545,0.7461710924761242,0.08747509090909092,0.7415075231481483,0,0.0,160,saife245_english-premier-league
16,82,0,0,0,54,52,1,1,csv,1,0,0,utf-8,0,0,0,106,106,11236,0.48335798816568054,0.10256410256410257,0.0,0.0,5.439674612350563,2.211526188034034,13.623194435049808,0.46980079588779844,0.8367346938775511,0.8576670076670078,0.08790306122448979,0.85436828840675,0,0.0,260,saife245_english-premier-league
17,0,0,0,0,0,18,1,0,csv,1,0,0,utf-8,0,0,1,18,18,324,0.9706209969367864,0.0,0.8372093023255814,1.1820987654320991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,43,saife245_english-premier-league
18,6,0,0,0,38,2,1,1,csv,1,0,0,utf-8,0,0,0,40,40,1600,0.6318713450292398,0.0268082486919052,0.0,0.0,0.08872994305888914,0.030910086571787964,0.24756732338246568,0.08851214452333572,0.25,0.6880514384148524,0.07002878687346162,0.6879508460992936,0,8.68,6840,saife245_english-premier-league
18,6,0,0,0,30,10,1,1,csv,1,0,0,utf-8,0,0,0,40,40,1600,0.42552631578947375,0.014502923976608191,0.0,0.0,0.0982817190895288,0.07148772889966255,0.20521027384449866,0.0944161559136945,0.25,0.6090005082944411,0.1723167048409103,0.6084662973222529,0,8.04,1140,saife245_english-premier-league
93,1,0,0,0,97,0,1,6,csv,1,0,0,utf-8,1,0,0,97,97,9409,0.0,0.0013374016845534363,0.0,0.0,31.557850125497858,0.0016779187667565745,-0.012817396212685237,0.4617982333136092,0.010638297872340425,0.29102860073469616,0.00017064893617021277,0.29102622324428934,0,0.0,122410,christianlillelund_csgo-round-winner-classification
2,0,0,1,0,11,4,1,0,csv,1,0,0,utf-8,0,0,1,15,15,225,0.7060078208318521,0.06770466807412621,0.20474137931034483,0.44,0.0,0.0,0.0,0.0,0.0,0.7714933006882064,0.0,0.7698207057011671,0,4.621965165376494,464,isaienkov_nba2k20-player-dataset
3,0,0,0,0,2,2,1,1,csv,1,0,0,utf-8,0,0,0,4,4,16,0.9846984698469847,0.0007000700070007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7811147788113478,0.0,0.7810366595215377,0,0.0,9999,najeedosmani_wingo-color-prediction
7,0,0,0,0,8,3,1,0,csv,1,0,0,latin1,0,0,1,11,11,121,0.6674048758259284,0.08911656298398471,0.877511961722488,11.256198347107437,0.0,0.0,0.0,0.0,0.0,0.9579803291276253,0.0,0.9569660426474598,0,1.7709999999999997,1045,hamdallak_the-world-of-pokemons
0,0,0,0,0,0,2,1,0,csv,1,0,0,utf-8,0,0,0,2,2,4,0.9806034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,232,mylesoneill_pokemon-sun-and-moon-gen-7-stats
1,0,0,0,0,0,3,1,1,csv,1,0,0,utf-8,0,0,0,3,3,9,0.9271739130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.02608695652173913,920,mylesoneill_pokemon-sun-and-moon-gen-7-stats
4,0,0,0,0,8,3,1,1,csv,1,0,0,utf-8,0,0,1,11,11,121,0.9923918212077983,0.02765318526347009,0.025677603423680456,0.1487603305785124,0.0,0.0,0.0,0.0,0.0,0.6260752140603318,0.0,0.6251790033166673,0,0.094151212553495,701,mylesoneill_pokemon-sun-and-moon-gen-7-stats
1,0,0,0,0,95,82,1,67,csv,1,0,0,utf-8,1,1,1,177,177,31329,0.46258178283137175,0.7215204431639741,0.998998998998999,3.4994733314181716,0.0,0.0,0.0,0.0,0.0,0.42123503200241724,0.0,0.37340127401178214,0,2639.1908970899717,999,mylesoneill_pokemon-sun-and-moon-gen-7-stats
0,5,0,0,0,5,1,1,1,csv,1,0,0,utf-8,0,0,0,6,6,36,1.0,0.12,0.0,0.0,0.0032000000000000023,0.0,0.12500000000000028,0.00007352941176469779,1.0,0.5066666666666667,0.25,0.4863999999999999,0,0.0,25,mylesoneill_pokemon-sun-and-moon-gen-7-stats
9,2,0,0,0,16,10,1,1,csv,1,0,0,utf-8,0,0,1,26,26,676,0.7320450316437678,0.08522442884965836,0.9839773798303487,6.448224852071006,0.007854647910090364,0.0,0.24848560629757202,0.00006277404267757972,0.18181818181818182,0.8888570813431413,0.015436363636363637,0.887757323273926,0,2.002,1061,mylesoneill_pokemon-sun-and-moon-gen-7-stats
0,18,0,0,0,20,0,1,0,csv,1,0,0,utf-8,0,0,1,20,20,400,0.0,0.020070806100217872,0.05555555555555555,0.045,0.48015101864553217,1.225255715678288,3.103752919869149,0.32728818137006666,1.0,0.6833362281735624,0.04766666666666668,0.6812185642432556,0,0.0,324,mylesoneill_pokemon-sun-and-moon-gen-7-stats
0,0,0,0,0,2,7,1,0,csv,1,0,0,utf-8,0,0,1,9,9,81,0.5944684207437615,0.033735104571984434,0.9857299670691547,43.46913580246913,0.0,0.0,0.0,0.0,0.0,0.49747028764559104,0.0,0.4968243090141943,0,0.7831912962235161,911,paultimothymooney_lord-of-the-rings-data
1,0,0,0,0,2,2,1,1,csv,1,0,0,utf-8,0,0,1,4,4,16,0.9865884325230512,0.025313807531380753,0.0016736401673640166,0.25,0.0,0.0,0.0,0.0,0.0,0.796309795068401,0.0,0.7959766110537285,0,0.07200000000000001,2390,paultimothymooney_lord-of-the-rings-data
4,0,0,0,0,2,5,1,3,csv,1,0,0,utf-8,0,0,0,7,7,49,0.735,0.10250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.0,0.4825749999999997,0,2.73,200,surajjha101_fide-chess-rankings-updated
1,4,0,1,0,1,6,1,2,csv,1,0,0,utf-8,0,0,0,7,7,49,0.7982346181970125,0.00031338138514572234,0.0,0.0,588.9995873391678,0.3375783568255197,-0.9748980368550239,19.82069735117873,0.8,0.0,0.018863200000000004,0.0,0,5.369,3191,psycon_game-companies-historical-stock-price-2022-04
1,4,0,1,0,1,6,1,2,csv,1,0,0,utf-8,0,0,0,7,7,49,0.8922490337407291,0.00031338138514572234,0.0,0.0,1689.8606620005685,0.07436888719747047,-1.2067919547972772,39.12737425909095,0.8,0.0,0.028888999999999998,0.0,0,6.699,3191,psycon_game-companies-historical-stock-price-2022-04
1,4,0,1,0,1,6,1,2,csv,1,0,0,utf-8,0,0,0,7,7,49,0.8867126292698213,0.00031338138514572234,0.0,0.0,5961.342530083374,1.0271780771290682,0.31484996530054954,21.63320400620213,0.8,0.0,0.029075799999999995,0.0,0,0.14700000000000002,3191,psycon_game-companies-historical-stock-price-2022-04
1,4,0,1,0,1,6,1,2,csv,1,0,0,utf-8,0,0,0,7,7,49,0.7893416927899687,0.00031347962382445143,0.0,0.0,269.751302957583,0.4330875599156926,-0.6138882754217333,12.577690481185469,0.8,0.0,0.022838,0.0,0,0.301,3190,psycon_game-companies-historical-stock-price-2022-04
1,4,0,1,0,1,6,1,2,csv,1,0,0,utf-8,0,0,0,7,7,49,0.8713047111668232,0.00031338138514572234,0.0,0.0,2766.968796049364,0.49154070188273274,-0.8622090050836487,20.75127225655236,0.8,0.0,0.031740199999999996,0.0,0,5.88,3191,psycon_game-companies-historical-stock-price-2022-04
